Compound	Group	Presence	annotation	Tail
Tyramine-C12:0	Rodents	FALSE	C12:0	Medium
Tyramine-C12:0	Microbes	FALSE	C12:0	Medium
Tyramine-C12:0	Foods	FALSE	C12:0	Medium
Tyramine-C12:0	Plants	FALSE	C12:0	Medium
Tyrosine-C12:0	Humans	TRUE	C12:0	Medium
Tyrosine-C12:0	Rodents	FALSE	C12:0	Medium
Tyrosine-C12:0	Microbes	TRUE	C12:0	Medium
Tyrosine-C12:0	Foods	TRUE	C12:0	Medium
Tyrosine-C12:0	Plants	FALSE	C12:0	Medium
Arginine-C12:1	Humans	FALSE	C12:1	Medium
Arginine-C12:1	Rodents	FALSE	C12:1	Medium
Arginine-C12:1	Microbes	TRUE	C12:1	Medium
Arginine-C12:1	Foods	FALSE	C12:1	Medium
Arginine-C12:1	Plants	FALSE	C12:1	Medium
Glutamine-C12:1	Humans	TRUE	C12:1	Medium
Glutamine-C12:1	Rodents	FALSE	C12:1	Medium
Glutamine-C12:1	Microbes	TRUE	C12:1	Medium
Glutamine-C12:1	Foods	FALSE	C12:1	Medium
Glutamine-C12:1	Plants	FALSE	C12:1	Medium
Leucine-C12:1	Humans	TRUE	C12:1	Medium
Leucine-C12:1	Rodents	FALSE	C12:1	Medium
Leucine-C12:1	Microbes	FALSE	C12:1	Medium
Leucine-C12:1	Foods	FALSE	C12:1	Medium
Leucine-C12:1	Plants	FALSE	C12:1	Medium
Lysine-C12:1	Humans	FALSE	C12:1	Medium
Lysine-C12:1	Rodents	FALSE	C12:1	Medium
Lysine-C12:1	Microbes	TRUE	C12:1	Medium
Lysine-C12:1	Foods	FALSE	C12:1	Medium
Lysine-C12:1	Plants	FALSE	C12:1	Medium
Phenylalanine-C12:1	Humans	TRUE	C12:1	Medium
Phenylalanine-C12:1	Rodents	FALSE	C12:1	Medium
Phenylalanine-C12:1	Microbes	FALSE	C12:1	Medium
Phenylalanine-C12:1	Foods	FALSE	C12:1	Medium
Phenylalanine-C12:1	Plants	FALSE	C12:1	Medium
Serine-C12:1	Humans	FALSE	C12:1	Medium
Serine-C12:1	Rodents	FALSE	C12:1	Medium
Serine-C12:1	Microbes	TRUE	C12:1	Medium
Serine-C12:1	Foods	FALSE	C12:1	Medium
Serine-C12:1	Plants	FALSE	C12:1	Medium
Spermidine-C12:1	Humans	FALSE	C12:1	Medium
Spermidine-C12:1	Rodents	TRUE	C12:1	Medium
Spermidine-C12:1	Microbes	FALSE	C12:1	Medium
Spermidine-C12:1	Foods	FALSE	C12:1	Medium
Spermidine-C12:1	Plants	FALSE	C12:1	Medium
Alanine/Sarcosine-C12:2	Humans	TRUE	C12:2	Medium
Alanine/Sarcosine-C12:2	Rodents	FALSE	C12:2	Medium
Alanine/Sarcosine-C12:2	Microbes	FALSE	C12:2	Medium
Alanine/Sarcosine-C12:2	Foods	FALSE	C12:2	Medium
Alanine/Sarcosine-C12:2	Plants	FALSE	C12:2	Medium
Glycine-C12:2	Humans	FALSE	C12:2	Medium
Glycine-C12:2	Rodents	TRUE	C12:2	Medium
Glycine-C12:2	Microbes	FALSE	C12:2	Medium
Glycine-C12:2	Foods	FALSE	C12:2	Medium
Glycine-C12:2	Plants	FALSE	C12:2	Medium
Leucine-C12:2	Humans	TRUE	C12:2	Medium
Leucine-C12:2	Rodents	FALSE	C12:2	Medium
Leucine-C12:2	Microbes	FALSE	C12:2	Medium
Leucine-C12:2	Foods	FALSE	C12:2	Medium
Leucine-C12:2	Plants	FALSE	C12:2	Medium
Lysine-C12:2	Humans	TRUE	C12:2	Medium
Lysine-C12:2	Rodents	FALSE	C12:2	Medium
Lysine-C12:2	Microbes	FALSE	C12:2	Medium
Lysine-C12:2	Foods	FALSE	C12:2	Medium
