Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail
												Glutamic acid-C19:2	Humans	TRUE	C19:2	Long						
												2-phenethylamine-C20:0	Foods	TRUE	C20:0	Long						
												3-methoxytyramine-C20:0	Foods	TRUE	C20:0	Long						
												3-methoxytyramine-C20:0	Plants	TRUE	C20:0	Long						
												Alanine/Sarcosine-C20:0	Rodents	TRUE	C20:0	Long						
												Amylamine-C20:0	Foods	TRUE	C20:0	Long						
												Amylamine-C20:0	Plants	TRUE	C20:0	Long						
												Leucine-C20:0	Humans	TRUE	C20:0	Long						
												Methionine-C20:0	Rodents	TRUE	C20:0	Long						
												Serotonin-C20:0	Humans	TRUE	C20:0	Long						
												Serotonin-C20:0	Microbes	TRUE	C20:0	Long						
												Serotonin-C20:0	Foods	TRUE	C20:0	Long						
												Serotonin-C20:0	Plants	TRUE	C20:0	Long						
												Tyramine-C20:0	Plants	TRUE	C20:0	Long						
												Leucine-C20:1	Humans	TRUE	C20:1	Long						
												Leucine-C20:1	Rodents	TRUE	C20:1	Long						
												Phenylalanine-C20:1	Humans	TRUE	C20:1	Long						
												Phenylalanine-C20:1	Rodents	TRUE	C20:1	Long						
												Serotonin-C20:1	Foods	TRUE	C20:1	Long						
												Serotonin-C20:1	Plants	TRUE	C20:1	Long						
												Leucine-C20:2	Humans	TRUE	C20:2	Long						
												Leucine-C20:2	Rodents	TRUE	C20:2	Long						
												Phenylalanine-C20:2	Humans	TRUE	C20:2	Long						
												Phenylalanine-C20:2	Rodents	TRUE	C20:2	Long						
												Tyramine-C20:2	Humans	TRUE	C20:2	Long						
												Arginine-C20:3	Rodents	TRUE	C20:3	Long						
												Leucine-C20:3	Humans	TRUE	C20:3	Long						
												Leucine-C20:3	Rodents	TRUE	C20:3	Long						
												Methionine-C20:3	Rodents	TRUE	C20:3	Long						
												Phenylalanine-C20:3	Humans	TRUE	C20:3	Long						
												Phenylalanine-C20:3	Rodents	TRUE	C20:3	Long						
												Tyramine-C20:3	Humans	TRUE	C20:3	Long						
												Tyrosine-C20:3	Rodents	TRUE	C20:3	Long						
												2-aminovaleric acid-C20:4	Humans	TRUE	C20:4	Long						
												2-aminovaleric acid-C20:4	Rodents	TRUE	C20:4	Long						
												2-phenethylamine-C20:4	Humans	TRUE	C20:4	Long						
												2-phenethylamine-C20:4	Microbes	TRUE	C20:4	Long						
												Arginine-C20:4	Rodents	TRUE	C20:4	Long						
												Arginine-C20:4	Foods	TRUE	C20:4	Long						
												GABA-C20:4	Rodents	TRUE	C20:4	Long						
												Glutamic acid-C20:4	Microbes	TRUE	C20:4	Long						
												Glycine-C20:4	Rodents	TRUE	C20:4	Long						
												Histidine-C20:4	Rodents	TRUE	C20:4	Long						
												Histidine-C20:4	Foods	TRUE	C20:4	Long						
												Leucine-C20:4	Humans	TRUE	C20:4	Long						
												Leucine-C20:4	Rodents	TRUE	C20:4	Long						
												Leucine-C20:4	Foods	TRUE	C20:4	Long						
												Lysine-C20:4	Rodents	TRUE	C20:4	Long						
												Lysine-C20:4	Foods	TRUE	C20:4	Long						
												Methionine-C20:4	Rodents	TRUE	C20:4	Long						
												Methionine-C20:4	Foods	TRUE	C20:4	Long						
												Phenylalanine-C20:4	Humans	TRUE	C20:4	Long						
												Phenylalanine-C20:4	Rodents	TRUE	C20:4	Long						
												Phenylalanine-C20:4	Foods	TRUE	C20:4	Long						
												Taurine-C20:4	Rodents	TRUE	C20:4	Long						
												Taurine-C20:4	Foods	TRUE	C20:4	Long						
												Threonine/homoserine-C20:4	Humans	TRUE	C20:4	Long						
												Threonine/homoserine-C20:4	Rodents	TRUE	C20:4	Long						
												Tryptamine-C20:4	Humans	TRUE	C20:4	Long						
												Tryptophan-C20:4	Humans	TRUE	C20:4	Long						
												Tryptophan-C20:4	Rodents	TRUE	C20:4	Long						
												Tyrosine-C20:4	Rodents	TRUE	C20:4	Long						
												Tyrosine-C20:4	Foods	TRUE	C20:4	Long						
												Glutamic acid-C21:0	Humans	TRUE	C21:0	Long						
												Leucine-C21:0	Microbes	TRUE	C21:0	Long						
												Serotonin-C21:0	Foods	TRUE	C21:0	Long						
												Serotonin-C21:0	Plants	TRUE	C21:0	Long						
												Tryptamine-C21:0	Foods	TRUE	C21:0	Long						
												Tryptamine-C21:3	Humans	TRUE	C21:3	Long						
