Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail
Serotonin-C2:0	Foods	TRUE	C2:0	Short		Phenylalanine-C10:1	Foods	TRUE	C10:1	Medium		Asparagine-C14:1	Humans	TRUE	C14:1	Long		Dopamine-C27:0	Plants	TRUE	C27:0	Very long
Serotonin-C2:0	Plants	TRUE	C2:0	Short		Spermidine-C10:1	Foods	TRUE	C10:1	Medium		Asparagine-C14:1	Microbes	TRUE	C14:1	Long		Tyramine-C27:0	Foods	TRUE	C27:0	Very long
Spermidine-C2:0	Humans	TRUE	C2:0	Short		Spermidine-C10:1	Plants	TRUE	C10:1	Medium		Citrulline-C14:1	Humans	TRUE	C14:1	Long		Tyramine-C27:0	Plants	TRUE	C27:0	Very long
Spermidine-C2:0	Rodents	TRUE	C2:0	Short		Tyramine-C10:1	Humans	TRUE	C10:1	Medium		Citrulline-C14:1	Foods	TRUE	C14:1	Long		Tyramine-C27:1	Foods	TRUE	C27:1	Very long
Spermidine-C2:0	Plants	TRUE	C2:0	Short		Tyramine-C10:1	Foods	TRUE	C10:1	Medium		Glutamine-C14:1	Humans	TRUE	C14:1	Long		Tyramine-C27:1	Plants	TRUE	C27:1	Very long
Threonine/homoserine-C2:0	Humans	TRUE	C2:0	Short		Tyramine-C10:1	Plants	TRUE	C10:1	Medium		Glutamine-C14:1	Microbes	TRUE	C14:1	Long		Dopamine-C28:0	Foods	TRUE	C28:0	Very long
Threonine/homoserine-C2:0	Rodents	TRUE	C2:0	Short		Tyrosine-C10:1	Microbes	TRUE	C10:1	Medium		Leucine-C14:1	Humans	TRUE	C14:1	Long		Dopamine-C28:0	Plants	TRUE	C28:0	Very long
Threonine/homoserine-C2:0	Microbes	TRUE	C2:0	Short		Tyrosine-C10:1	Foods	TRUE	C10:1	Medium		Leucine-C14:1	Microbes	TRUE	C14:1	Long		Leucine-C28:0	Foods	TRUE	C28:0	Very long
Threonine/homoserine-C2:0	Plants	TRUE	C2:0	Short		Tyrosine-C10:1	Plants	TRUE	C10:1	Medium		Leucine-C14:1	Foods	TRUE	C14:1	Long		Leucine-C28:0	Plants	TRUE	C28:0	Very long
Tryptamine-C2:0	Humans	TRUE	C2:0	Short		2-phenethylamine-C10:2	Rodents	TRUE	C10:2	Medium		Lysine-C14:1	Foods	TRUE	C14:1	Long		Serotonin-C28:0	Foods	TRUE	C28:0	Very long
Tyramine-C2:0	Humans	TRUE	C2:0	Short		2-phenethylamine-C10:2	Plants	TRUE	C10:2	Medium		Methionine-C14:1	Foods	TRUE	C14:1	Long		Tyramine-C28:0	Plants	TRUE	C28:0	Very long
Tyramine-C2:0	Rodents	TRUE	C2:0	Short		Glutamine-C10:2	Humans	TRUE	C10:2	Medium		Phenylalanine-C14:1	Humans	TRUE	C14:1	Long		Dopamine-C28:1	Foods	TRUE	C28:1	Very long
Tyramine-C2:0	Foods	TRUE	C2:0	Short		Glutathione-C10:2	Rodents	TRUE	C10:2	Medium		Phenylalanine-C14:1	Microbes	TRUE	C14:1	Long		Dopamine-C28:1	Plants	TRUE	C28:1	Very long
Tyramine-C2:0	Plants	TRUE	C2:0	Short		Leucine-C10:2	Humans	TRUE	C10:2	Medium		Phenylalanine-C14:1	Foods	TRUE	C14:1	Long		Serotonin-C28:1	Foods	TRUE	C28:1	Very long
Tyrosine-C2:0	Humans	TRUE	C2:0	Short		Spermidine-C10:2	Plants	TRUE	C10:2	Medium		Putrescine-C14:1	Humans	TRUE	C14:1	Long		Tyramine-C28:1	Foods	TRUE	C28:1	Very long
Tyrosine-C2:0	Rodents	TRUE	C2:0	Short		Tyramine-C10:2	Plants	TRUE	C10:2	Medium		Serine-C14:1	Microbes	TRUE	C14:1	Long		Tyramine-C28:1	Plants	TRUE	C28:1	Very long
Tyrosine-C2:0	Microbes	TRUE	C2:0	Short		Tyrosine-C10:2	Humans	TRUE	C10:2	Medium		Taurine-C14:1	Foods	TRUE	C14:1	Long		Tyramine-C28:2	Foods	TRUE	C28:2	Very long
Tyrosine-C2:0	Foods	TRUE	C2:0	Short		2-phenethylamine-C10:3	Plants	TRUE	C10:3	Medium		Threonine/homoserine-C14:1	Microbes	TRUE	C14:1	Long		Tyramine-C28:2	Plants	TRUE	C28:2	Very long
Tyrosine-C2:0	Plants	TRUE	C2:0	Short		Glutamine-C10:3	Humans	TRUE	C10:3	Medium		Tyrosine-C14:1	Rodents	TRUE	C14:1	Long		Dopamine-C29:0	Foods	TRUE	C29:0	Very long
Valine-C2:0	Humans	TRUE	C2:0	Short		Glutamine-C10:3	Foods	TRUE	C10:3	Medium		Tyrosine-C14:1	Foods	TRUE	C14:1	Long		Dopamine-C29:0	Plants	TRUE	C29:0	Very long
