filename	ATTRIBUTE_SampleType	ATTRIBUTE_ADDGroup
Plate16_55244_Soil_GE7_01_28277.mzXML	Soil	active
Plate4_54646_Skin_GB10_01_27226.mzXML	Skin	active
Plate17_54654_Soil_BG5_01_28437.mzXML	Soil	active
Plate1_43324_Skin_GH5_01_26305.mzXML	Skin	active
Plate11_43328_Soil_GH11_01_27702.mzXML	Soil	active
Plate8_61304_Skin_GF1_01_27393.mzXML	Skin	active
Plate15_61308_Soil_BB7_01_28112.mzXML	Soil	active
Plate4_60910_Skin_GA11_01_27213.mzXML	Skin	active
Plate5_60748_Skin_GE3_01_26624.mzXML	Skin	active
Plate14_60752_Soil_BH3_01_27937.mzXML	Soil	active
Plate14_60914_Soil_BD5_01_27882.mzXML	Soil	active
Plate9_61504_Skin_GA3_01_26939.mzXML	Skin	active
Plate16_61508_Soil_GC9_01_28250.mzXML	Soil	active
Plate6_61666_Skin_GB7_01_26723.mzXML	Skin	active
Plate16_61670_Soil_GA2_01_28214.mzXML	Soil	active
Plate4_64976_Skin_GB4_01_27219.mzXML	Skin	active
Plate14_64980_Soil_BE3_01_27894.mzXML	Soil	active
Plate8_61074_Skin_GC8_01_27359.mzXML	Skin	active
Plate14_61078_Soil_BD6_01_27883.mzXML	Soil	active
Plate5_64220_Skin_GE8_01_26630.mzXML	Skin	active
Plate14_64224_Soil_BA5_01_27841.mzXML	Soil	active
Plate2_64600_Skin_GE4_01_26390.mzXML	Skin	early
Plate3_64400_Skin_GG9_01_26535.mzXML	Skin	early
Plate10_64604_Soil_BG6_01_27798.mzXML	Soil	early
Plate13_64404_Soil_GD7_01_27519.mzXML	Soil	early
Plate3_64762_Skin_GE6_01_26502.mzXML	Skin	early
Plate10_64766_Soil_BE10_01_27775.mzXML	Soil	early
Plate4_65176_Skin_GB7_01_27223.mzXML	Skin	early
Plate15_65180_Soil_BH10_01_28202.mzXML	Soil	early
Plate7_63682_Skin_GB8_01_27036.mzXML	Skin	active
Plate15_63686_Soil_BA3_01_28093.mzXML	Soil	active
Plate1_25738_Skin_GH10_01_26310.mzXML	Skin	early
Plate11_25742_Soil_GG6_01_27681.mzXML	Soil	early
Plate1_25864_Skin_GG10_01_26297.mzXML	Skin	early
Plate11_25868_Soil_GA6_01_27597.mzXML	Soil	early
Plate9_25268_Skin_GD3_01_26986.mzXML	Skin	active
Plate11_25272_Soil_GE3_01_27649.mzXML	Soil	active
Plate1_25468_Skin_GF3_01_26275.mzXML	Skin	early
Plate11_25472_Soil_GH6_01_27695.mzXML	Soil	early
Plate3_55402_Skin_GH7_01_26545.mzXML	Skin	early
Plate13_55406_Soil_GF11_01_27551.mzXML	Soil	early
Plate3_54530_Skin_GA1_01_26448.mzXML	Skin	early
Plate12_55576_Soil_GC9_01_27994.mzXML	Soil	early
Plate3_62059_Skin_GE10_01_26506.mzXML	Skin	early
Plate17_62063_Soil_BH6_01_28454.mzXML	Soil	early
Plate3_62010_Skin_GH12_01_26553.mzXML	Skin	early
Plate18_62014_Soil_GB5_01_28518.mzXML	Soil	early
Plate7_45862_Skin_GE1_01_27070.mzXML	Skin	active
Plate13_45866_Soil_GH6_01_27574.mzXML	Soil	active
