filename	SampleType	Mouse_group	Bacteria	BodyPart	Bacteria_Family	Bacteria_Order	Bacteria_Class	Bacteria_Phyllum
Diet_blank-3_(5k67).mzML	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank
Diet_blank-4_(5k67).mzML	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank	Diet_Blank
GF_CO-1.mzML	Mus musculus	GF	GF	colon	GF	GF	GF	GF
GF_CO-2.mzML	Mus musculus	GF	GF	colon	GF	GF	GF	GF
GF_CO-3.mzML	Mus musculus	GF	GF	colon	GF	GF	GF	GF
GF_CO-4.mzML	Mus musculus	GF	GF	colon	GF	GF	GF	GF
GF_CO-5.mzML	Mus musculus	GF	GF	colon	GF	GF	GF	GF
GF_CO-6.mzML	Mus musculus	GF	GF	colon	GF	GF	GF	GF
GF_SI-1.mzML	Mus musculus	GF	GF	small intestine	GF	GF	GF	GF
GF_SI-2.mzML	Mus musculus	GF	GF	small intestine	GF	GF	GF	GF
GF_SI-3.mzML	Mus musculus	GF	GF	small intestine	GF	GF	GF	GF
GF_SI-4.mzML	Mus musculus	GF	GF	small intestine	GF	GF	GF	GF
GF_SI-5.mzML	Mus musculus	GF	GF	small intestine	GF	GF	GF	GF
GF_SI-6.mzML	Mus musculus	GF	GF	small intestine	GF	GF	GF	GF
Acinetobacter_lwoffii_AO35_CO-1.mzML	Mus musculus	monocolonized	Acinetobacter lwoffii AO35	colon	Moraxellaceae	Moraxellales	Gammaproteobacteria	Pseudomonadota
Acinetobacter_lwoffii_AO35_CO-2.mzML	Mus musculus	monocolonized	Acinetobacter lwoffii AO35	colon	Moraxellaceae	Moraxellales	Gammaproteobacteria	Pseudomonadota
Acinetobacter_lwoffii_AO35_CO-3.mzML	Mus musculus	monocolonized	Acinetobacter lwoffii AO35	colon	Moraxellaceae	Moraxellales	Gammaproteobacteria	Pseudomonadota
Acinetobacter_lwoffii_AO35_SI-1.mzML	Mus musculus	monocolonized	Acinetobacter lwoffii AO35	small intestine	Moraxellaceae	Moraxellales	Gammaproteobacteria	Pseudomonadota
Acinetobacter_lwoffii_AO35_SI-2.mzML	Mus musculus	monocolonized	Acinetobacter lwoffii AO35	small intestine	Moraxellaceae	Moraxellales	Gammaproteobacteria	Pseudomonadota
Acinetobacter_lwoffii_AO35_SI-3.mzML	Mus musculus	monocolonized	Acinetobacter lwoffii AO35	small intestine	Moraxellaceae	Moraxellales	Gammaproteobacteria	Pseudomonadota
Akkermansia_muciniphila_BAA-835_CO-1.mzML	Mus musculus	monocolonized	Akkermansia muciniphila BAA-835	colon	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobiota
Akkermansia_muciniphila_BAA-835_CO-2.mzML	Mus musculus	monocolonized	Akkermansia muciniphila BAA-835	colon	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobiota
Akkermansia_muciniphila_BAA-835_CO-3.mzML	Mus musculus	monocolonized	Akkermansia muciniphila BAA-835	colon	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobiota
Akkermansia_muciniphila_BAA-835_SI-1.mzML	Mus musculus	monocolonized	Akkermansia muciniphila BAA-835	small intestine	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobiota
Akkermansia_muciniphila_BAA-835_SI-2.mzML	Mus musculus	monocolonized	Akkermansia muciniphila BAA-835	small intestine	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobiota
Akkermansia_muciniphila_BAA-835_SI-3.mzML	Mus musculus	monocolonized	Akkermansia muciniphila BAA-835	small intestine	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobiota
Bacteroides_cellulosilyticus_DSM_14838_CO-1.mzML	Mus musculus	monocolonized	Bacteroides cellulosilyticus DSM 14838	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_cellulosilyticus_DSM_14838_CO-2.mzML	Mus musculus	monocolonized	Bacteroides cellulosilyticus DSM 14838	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_cellulosilyticus_DSM_14838_CO-3.mzML	Mus musculus	monocolonized	Bacteroides cellulosilyticus DSM 14838	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
