filename	ATTRIBUTE_diet	ATTRIBUTE_antibiotics_YN
SS299_RB8_01_7654.mzML	HFD	No
SS300_RB9_01_7655.mzML	HFD	No
SS301_RB10_01_7656.mzML	HFD	No
SS302_RB11_01_7657.mzML	HFD	No
SS303_RB12_01_7658.mzML	HFD	No
SS304_RC1_01_7660.mzML	HFD	No
SS305_RC2_01_7661.mzML	HFD	No
SS306_RC3_01_7662.mzML	HFD	No
SS307_RC4_01_7663.mzML	HFD	No
SS308_RC5_01_7664.mzML	HFD	No
SS309_RC6_01_7665.mzML	HFD	No
SS310_RC7_01_7666.mzML	HFD	No
SS311_RC8_01_7667.mzML	HFD	No
SS312_RC9_01_7668.mzML	HFD	No
SS313_RC10_01_7669.mzML	HFD	No
SS314_RC11_01_7670.mzML	HFD	No
SS315_RC12_01_7671.mzML	HFD	No
SS316_RD1_01_7673.mzML	HFD	No
SS317_RD2_01_7674.mzML	HFD	No
SS332_RE5_01_7690.mzML	HFD	No
SS333_RE6_01_7691.mzML	HFD	No
SS334_RE7_01_7692.mzML	HFD	No
SS335_RE8_01_7693.mzML	HFD	No
SS336_RE9_01_7694.mzML	HFD	No
SS337_RE10_01_7695.mzML	HFD	No
SS338_RE11_01_7696.mzML	HFD	No
SS339_RE12_01_7697.mzML	HFD	No
SS340_RF1_01_7699.mzML	HFD	No
SS341_RF2_01_7700.mzML	HFD	No
SS342_RF3_01_7701.mzML	HFD	No
SS343_RF4_01_7702.mzML	HFD	No
SS344_RF5_01_7703.mzML	HFD	No
SS345_RF6_01_7704.mzML	HFD	No
SS346_RF7_01_7705.mzML	HFD	No
SS347_RF8_01_7706.mzML	HFD	No
SS348_RF9_01_7707.mzML	HFD	No
SS349_RF10_01_7708.mzML	HFD	No
SS350_RF11_01_7709.mzML	HFD	No
SS351_RF12_01_7710.mzML	HFD	No
SS352_RG1_01_7712.mzML	HFD	No
SS353_RG2_01_7713.mzML	HFD	No
SS354_RG3_01_7714.mzML	HFD	No
SS355_RG4_01_7715.mzML	HFD	No
SS356_RG5_01_7716.mzML	HFD	No
SS357_RG6_01_7717.mzML	HFD	No
SS358_RG7_01_7718.mzML	HFD	No
SS359_RG8_01_7719.mzML	HFD	No
SS360_RG9_01_7720.mzML	HFD	No
SS361_RG10_01_7721.mzML	HFD	No
SS362_RG11_01_7722.mzML	HFD	No
SS363_RG12_01_7723.mzML	HFD	No
SS364_RH1_01_7725.mzML	HFD	No
SS365_RH2_01_7726.mzML	HFD	No
SS366_RH3_01_7727.mzML	HFD	No
SS367_RH4_01_7728.mzML	HFD	No
SS368_RH5_01_7729.mzML	HFD	No
SS369_RH6_01_7730.mzML	HFD	No
SS370_RH7_01_7731.mzML	HFD	No
SS392_RB8_01_7759.mzML	HFD	No
SS393_RB9_01_7760.mzML	HFD	No
SS394_RB10_01_7761.mzML	HFD	No
SS395_RB11_01_7762.mzML	HFD	No
SS397_RC1_01_7765.mzML	HFD	No
SS398_RC2_01_7766.mzML	HFD	No
SS399_RC3_01_7767.mzML	HFD	No
SS400_RC4_01_7768.mzML	HFD	No
SS401_RC5_01_7769.mzML	HFD	No
SS402_RC6_01_7770.mzML	HFD	No
SS403_RC7_01_7771.mzML	HFD	No
SS404_RC8_01_7772.mzML	HFD	No
SS405_RC9_01_7773.mzML	HFD	No
SS406_RC10_01_7776.mzML	HFD	No
SS413_RD5_01_7784.mzML	HFD	No
SS414_RD6_01_7785.mzML	HFD	No
SS415_RD7_01_7786.mzML	HFD	No
SS416_RD8_01_7787.mzML	HFD	No
SS426_RE6_01_7798.mzML	HFD	Yes
SS427_RE7_01_7799.mzML	HFD	Yes
SS428_RE8_01_7800.mzML	HFD	Yes
SS429_RE9_01_7801.mzML	HFD	Yes
SS430_RE10_01_7802.mzML	HFD	Yes
SS431_RE11_01_7803.mzML	HFD	Yes
SS432_RE12_01_7804.mzML	HFD	Yes
SS433_RF1_01_7806.mzML	HFD	Yes
SS434_RF2_01_7807.mzML	HFD	Yes
SS435_RF3_01_7808.mzML	HFD	Yes
SS436_RF4_01_7809.mzML	HFD	Yes
SS437_RF5_01_7810.mzML	HFD	Yes
SS438_RF6_01_7811.mzML	HFD	Yes
SS439_RF7_01_7812.mzML	HFD	Yes
SS440_RF8_01_7813.mzML	HFD	Yes
SS441_RF9_01_7814.mzML	HFD	Yes
SS442_RF10_01_7815.mzML	HFD	Yes
SS443_RF11_01_7816.mzML	HFD	Yes
SS444_RF12_01_7817.mzML	HFD	Yes
SS445_RG1_01_7819.mzML	HFD	Yes
SS446_RG2_01_7820.mzML	HFD	Yes
SS447_RG3_01_7821.mzML	HFD	Yes
SS448_RG4_01_7822.mzML	HFD	Yes
SS449_RG5_01_7823.mzML	HFD	Yes
SS450_RG6_01_7824.mzML	HFD	Yes
SS451_RG7_01_7825.mzML	HFD	Yes
SS452_RG8_01_7826.mzML	HFD	Yes
Blank_injection_RC12_01_7778.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7304.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7312.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7319.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7321.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7333.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7346.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7354.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7360.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7373.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7383.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7387.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7400.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7402.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7412.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7415.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7430.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7443.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7456.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7469.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7477.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7479.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7481.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7485.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7497.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7513.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7515.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7517.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7519.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7524.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7526.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7541.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7554.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7567.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7580.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7593.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7606.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7619.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7629.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7631.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7646.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7659.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7672.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7685.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7698.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7711.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7724.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7734.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7736.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7751.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7764.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7775.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7779.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7792.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7805.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7818.mzML	Blank	Blank
Extraction_solvent_blank_RH11_01_7827.mzML	Blank	Blank
Sample_extraction_blank_RH10_01_7411.mzML	Blank	Blank
Sample_extraction_blank_RH10_01_7416.mzML	Blank	Blank
Sample_extraction_blank_RH10_01_7527.mzML	Blank	Blank
Sample_extraction_blank_RH10_01_7632.mzML	Blank	Blank
Sample_extraction_blank_RH10_01_7737.mzML	Blank	Blank
