ATTRIBUTE_ADDGroup	filename	MS_482	MS_513	MS_1040	MS_786	MS_1945	MS_1595	MS_1496	MS_4153	MS_6091	MS_2871	MS_1053	MS_5008	MS_475	MS_4871	MS_9453	MS_5865	MS_8665	MS_6023	MS_7675	MS_9086	MS_5929	MS_9203	MS_9522	MS_6098	MS_7969	MS_9850	MS_8453	MS_5898	MS_8942	MS_9357	MS_5940	MS_8145	MS_8680	MS_8430	MS_8604	MS_6227	MS_7729	MS_9099	MS_7031	MS_9439	MS_9753	MS_6327	MS_8388	MS_8927	MS_6828	MS_9383	MS_8429	MS_8640	MS_5531	MS_7295	MS_8016	MS_8880
-	compound	Tyramine-C2:0	Putrescine-C6:0	Tyramine-C3:0	Cadaverine-C6:0	Leucine-C4:0	GABA-C6:0	Tyramine-C4:0	2-phenethylamine-C6:0	Amylamine-C9:0	Tyramine-C6:0	Tyrosine-C4:0	Leucine-C9:0	Histidine-C9:4	Putrescine-C14:0	Amylamine-C16:0	Putrescine-C16:0	2-phenethylamine-C14:0	Cadaverine-C16:0	Leucine-C14:0	2-phenethylamine-C15:0	Histamine-C16:0	Amylamine-C18:2	Amylamine-C18:1	Putrescine-C18:1	Alanine/Sarcosine-C18:1	Amylamine-C18:0	Valine-C16:0	Glutamic acid-C14:0	2-phenethylamine-C16:1	2-phenethylamine-C16:0	Spermidine-C16:0	Leucine-C16:1	Leucine-C16:0	Tyramine-C16:0	Valine-C18:1	Glutamic acid-C16:1	2-phenethylamine-C18:2	2-phenethylamine-C18:2	Glutamic acid-C16:0	2-phenethylamine-C18:1	2-phenethylamine-C18:0	Spermidine-C18:1	Leucine-C18:2	Leucine-C18:1	Glutamic acid-C17:1	Leucine-C18:0	Tyramine-C18:1	Phenylalanine-C16:0	Glutamic acid-C18:1	Glutamic acid-C18:1	Glutamic acid-C18:0	Phenylalanine-C18:1
-	p-value	1.06E-07	2.06E-03	1.01E-04	0.090006289	2.08E-05	0.00282311	1.13E-05	5.86E-20	3.35E-14	5.17E-05	4.74E-03	1.34E-03	7.93E-05	0.00021938	8.58E-29	6.49E-15	7.55E-21	9.92E-14	2.50E-06	2.87E-10	2.82E-10	1.51E-09	1.03E-41	1.23E-12	7.48E-05	5.19E-10	1.64E-05	3.86E-05	1.04E-13	2.21E-32	1.61E-10	1.46E-15	1.64E-11	8.47E-11	1.15E-10	7.11E-16	3.00E-11	5.57E-05	1.47E-12	3.26E-40	9.02E-21	1.96E-09	3.48E-04	7.08E-08	2.95E-05	1.75E-01	3.49E-13	5.85E-06	5.88E-06	2.72E-28	1.88E-06	4.07E-06
early	Plate10_64550_Soil_Rerun_BG5_01_27815	0	0	4.986614	0	6.7923546	23.123636	3.8840628	0	0	0	42.37108	0	0	0	3.23843	0	0	0	0	0	0	2.421671	0	0	4.9629807	10.593582	5.7636986	71.032814	4.6678634	0	0	0	0	0	0	0	0	12.445143	6.0565186	0	0	0	0	3.2590842	21.488726	1.9798069	0	3.5656483	0	4.6386576	93.90982	2.10398
early	Plate17_60430_Soil_BD4_01_28392	0	0	0	0	0	4.077835	0	0	0	0	7.572954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.421463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
early	Plate10_25814_Soil_BH3_01_27809	0	0	3.923138	0	5.1738787	14.868227	6.8444424	0	3.5288486	0	44.68207	0	0	0	0	0	0	0	3.2355003	0	0	0	0	0	3.702407	5.272462	3.793335	0	0	0	0	3.6828804	0	0	0	0	0	0	0	0	0	0	10.7955265	0	3.2435029	0	0	0	3.2274652	0	0	0
early	Plate17_55424_Soil_BG9_01_28443	0	0	0	0	0	0	0	0	0	0	18.502861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5371749	0
early	Plate17_64080_Soil_BC6_01_28380	0	0	0	0	0	13.6819935	0	0	0	0	16.509983	1.1977193	0	0	2.3465872	0	0	0	0	0	0	0	1.8377948	0	1.5545819	16.032482	0	0	0	5.6731486	0	0	0	0	0	0	0	0	3.338623	0	10.70976	0	0	0	1.6171455	0	0	0	0	0	10.452061	0
early	Plate17_55496_Soil_BH1_01_28449	0	0	0	0	0	0	3.5468984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8623886	0	0	0	0	0	0	0	0	0	0	0	3.053381	0	0	0	0	0	0	0	0	0	0	0	0	0
early	Plate17_55370_Soil_BD1_01_28389	0	0	0	0	3.380764	4.757391	6.472821	0	0	0	22.010994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8543816	20.102554	0	0	0	0	0	0	0	0	0	0	0	2.7381372	0
early	Plate17_60408_Soil_BF8_01_28427	0	0	0	0	0	3.7231143	0	0	0	0	3.2971714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9249513	0	0	0	0	0	0	0	0	0	0	0	2.6253564	0
early	Plate17_64118_Soil_BG8_01_28442	0	0	0	0	0	3.1827886	3.2817774	0	0	0	6.3864365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1691914	0	0	0	0	0	0	0	0	0	0	0	0	0
early	Plate10_44048_Soil_BH5_01_27811	3.285037	0	4.6574163	0	4.6727962	6.9416895	7.6470523	0	0	5.2084923	31.750065	6.601746	0	0	0	0	0	0	3.3701835	0	0	0	2.1855712	0	6.652665	8.690015	3.4356701	4.2497253	0	0	0	0	0	0	3.7563586	3.4032211	3.2729359	3.6286533	114.16081	0	0	4.057782	0	3.2705998	17.785591	4.9768276	0	0	0	6.511259	111.13677	0
active	Plate14_45756_Soil_BC11_01_27875	0	0	3.9565063	0	0	16.251905	8.081568	0	0	0	24.091925	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6894264	2.8189063	3.0799866	0	4.9122925	0	0	0	0	0	0	3.3831675	0	4.9174995	48.01168	0	0	0	0	0	21.902224	2.0481377	0	0	4.206717	3.3393466	30.109438	0
active	Plate14_64260_Soil_BE5_01_27896	0	0	11.220494	0	5.2658615	6.5101147	3.4377098	0	0	0	26.980106	8.358261	0	0	2.17597	0	0	0	0	0	0	0	0	0	0	0	3.5275698	57.718914	8.369205	2.379774	0	0	0	0	0	0	0	2.7927563	18.943064	0	0	0	0	2.603344	16.944809	0	0	2.565734	0	0	64.47778	0
