ATTRIBUTE_diet	filename	MS_718	MS_614	MS_1557	MS_3957	MS_4136	MS_485	MS_4039	MS_9983	MS_840	MS_15981	MS_13814	MS_10645	MS_30185	MS_23517	MS_29852	MS_23461	MS_30388	MS_30838	MS_28632	MS_30065	MS_23805	MS_25563	MS_29013	MS_27931	MS_28897	MS_29738	MS_23556	MS_30215	MS_24526	MS_26131	MS_22498	MS_28514	MS_25616	MS_29459	MS_26934	MS_30091	MS_29005	MS_24489	MS_23873	MS_23840	MS_28750	MS_28944	MS_29727	MS_30179	MS_28483	MS_29435	MS_30085	MS_26700	MS_27625	MS_29509	MS_27861
-	compound	Putrescine-C2:0	Histamine-C2:0	Cadaverine-C3:0	Valine-C2:0	Cadaverine-C5:0	Spermidine-C2:0	Methionine-C2:0	Phenylalanine-C2:0	3-methylhistidine-C2:0	Leucine-C5:0	Phenylalanine-C4:0	Tyrosine-C5:0	Amylamine-C16:0	Asparagine-C14:0	Amylamine-C18:2	Putrescine-C18:2	Amylamine-C18:1	Amylamine-C18:0	Valine-C16:0	2-phenethylamine-C16:0	Spermidine-C16:1	Spermidine-C16:0	Leucine-C16:0	Valine-C18:2	Valine-C18:1	2-phenethylamine-C18:2	Lysine-C16:0	2-phenethylamine-C18:1	Spermidine-C18:2	Spermidine-C18:1	Spermidine-C18:1	Leucine-C18:2	Aspartic acid-C18:2	Leucine-C18:1	Aspartic acid-C18:1	Leucine-C18:0	Phenylalanine-C16:0	Lysine-C18:1	Lysine-C18:1	Arginine-C16:0	Methionine-C18:1	Leucine-C20:3	Leucine-C20:2	Leucine-C20:1	Phenylalanine-C18:2	Phenylalanine-C18:1	Phenylalanine-C18:0	Tyrosine-C18:2	Tyrosine-C18:1	Phenylalanine-C20:3	Tryptophan-C18:2
HFD	SS2_RA2_01_7306	18.92896	0	10.656043	32.341465	2.496827	49.220795	537.25287	0	65.672485	0	0	0	0	0	0	0	0	0	0	0	179.5233	942.07635	32.217686	7.8259077	6.2351255	0	128.89737	0	378.08264	820.3381	0	0	0	31.919476	0	42.037075	0	128.49776	140.49182	514.85535	40.970062	0	0	0	0	9.558477	19.028122	8.125002	3.3715725	0	8.688208
HFD	SS40_RD4_01_7350	29.94518	0	0	32.58585	0	60.622345	359.85678	0	65.727165	0	0	0	0	0	0	0	0	0	0	0	1337.9905	3566.9065	134.90497	25.96821	25.219162	0	120.5512	0	1837.2649	7000.882	0	0	80.23614	68.61964	3.9584885	70.73729	60.088776	179.9223	186.92888	45.666557	25.40893	0	0	18.132969	0	45.28203	24.763575	16.135166	17.217594	0	8.378513
HFD	SS80_RG8_01_7395	63.459965	52.685238	0	21.570526	6.0780497	30.8106	46.874977	0	136.85255	0	0	0	0	0	0	0	0	0	0	0	37.38296	0	53.400555	0	5.9353714	0	36.932125	0	3.135635	0	54.97275	0	0	24.277592	0	34.456593	0	51.275803	9.4587345	0	52.970146	0	0	0	0	2.7068148	9.933935	49.1159	4.0969133	0	0
HFD	SS41_RD5_01_7351	67.03897	0	15.383446	54.91608	9.14907	35.25181	366.44824	0	147.20815	0	0	0	0	0	0	0	0	0	84.48671	0	559.4122	1330.5717	494.8067	27.974155	18.872166	0	113.62994	0	806.88837	2969.1133	32.69889	39.923832	0	90.548874	0	188.65935	96.07801	208.9324	218.22786	68.36632	81.179276	0	0	0	25.397491	44.355946	50.01143	19.856033	38.037025	0	7.067321
HFD	SS43_RD7_01_7353	40.30815	41.610752	60.507057	58.852097	20.80483	61.237206	462.94006	0	178.97968	0	0	0	0	0	0	0	0	0	0	0	2384.0193	5341.0483	305.54367	17.275154	22.315977	0	77.97087	0	2571.5083	8231.462	45.365173	0	53.35125	41.72684	3.5404978	112.15734	47.829468	105.63652	105.63652	279.3753	92.66376	0	0	0	0	63.461044	38.866158	82.31119	37.12414	0	10.270003
HFD	SS45_RD9_01_7356	78.281235	0	0	90.45966	0	8.644484	337.08682	0	257.20255	0	0	69.654884	0	0	0	0	0	0	0	0	0	0	39.024395	0	0	0	15.059689	0	3.8412595	0	0	0	0	6.6783233	0	0	0	17.777382	17.777382	38.361584	0	0	0	0	0	5.207632	0	0	2.58317	0	0
HFD	SS44_RD8_01_7355	35.678734	59.376472	13.341173	113.369225	12.543175	88.73074	449.76816	0	696.91614	0	0	0	0	0	0	9.460028	0	0	0	0	797.67255	1410.9855	256.40036	16.470219	4.36615	0	99.96019	0	1329.803	3466.7612	0	42.128162	0	103.68196	2.5491905	139.09752	46.853855	148.38187	151.2854	40.50601	110.9725	0	0	0	29.00961	33.876427	42.1074	69.36399	30.116934	3.8677468	21.553675
HFD	SS48_RD12_01_7359	135.12518	0	44.060707	74.65702	52.76525	82.3594	365.5259	0	90.53597	0	0	0	0	0	0	5.410225	0	0	0	0	617.09845	1376.53	314.6749	30.178669	29.283188	0	88.09723	0	1172.2148	4170.1025	0	0	0	89.52888	0	149.82323	42.998867	74.65273	259.32315	594.16956	172.23233	28.46969	0	0	0	43.635952	47.80228	29.675285	23.907051	0	27.269966
HFD	SS98_RA5_01_7422	58.775543	0	8.025299	354.55267	36.221138	23.839489	621.5451	113.50099	186.85101	0	245.55313	0	0	0	0	0	0	0	277.6868	0	0	289.90396	664.07965	282.98526	605.57306	0	104.29064	3.7377286	212.83728	373.5584	102.6663	999.8924	0	2351.525	0	264.85883	312.69113	223.73576	117.796524	129.36575	150.71104	34.190895	35.957	93.00681	462.3016	802.3218	122.31438	112.00243	171.54364	0	53.104652
HFD	SS19_RB7_01_7327	0	32.492836	5.295823	23.51024	9.5118885	51.090645	206.72198	0	286.2526	0	0	0	0	0	0	0	0	0	77.143654	0	444.54865	1136.8577	399.28903	47.202026	27.84637	0	93.89899	0	623.2091	2096.6467	0	92.34602	0	306.58118	0	195.258	126.12045	201.84268	204.96045	197.94035	122.846794	0	0	0	93.357	177.67537	95.324425	59.30009	81.159454	0	39.668137
HFD	SS101_RA8_01_7425	288.81387	0	0	165.55374	0	82.05505	318.8836	75.92125	323.96	0	0	0	0	0	0	0	2.744372	0	0	0	0	494.05737	193.39484	102.659424	107.99213	0	75.930145	0	20.714417	41.233902	0	312.89066	107.63102	542.277	2.766388	48.554703	97.868774	69.07846	69.07846	18.832504	84.697426	0	0	0	158.56107	221.03581	28.415604	42.545578	56.34875	2.4956756	48.043365
HFD	SS147_RE6_01_7475	18.430824	0	0	84.24846	0	164.37143	394.29733	0	108.21127	0	329.96475	0	0	0	0	0	7.704204	0	130.33719	0	82.068726	0	360.81046	187.80972	411.00497	0	224.92151	0	60.111874	52.090786	88.79814	769.4501	0	2124.457	0	93.049545	144.57677	234.17505	186.34125	12.751265	113.28219	55.53079	0	0	203.27606	506.19626	28.383625	23.348885	104.36773	2.806797	77.46501
HFD	SS116_RB11_01_7441	8.287499	0	2.8861303	222.06598	2.7638693	108.39037	691.56226	61.34795	85.617004	0	81.58116	0	0	0	0	0	13.151922	69.23498	183.7923	0	171.24748	323.8532	488.39023	144.6389	377.42517	0	126.90172	0	198.19551	1222.7556	78.884026	311.0411	0	1346.0366	2.7343636	87.93434	212.01399	260.79822	233.9962	181.6922	95.85682	0	0	0	217.91518	664.25934	54.64865	91.29714	191.86224	0	56.27241
HFD	SS46_RD10_01_7357	89.41246	0	26.212898	0	40.38038	31.600895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.861618	0	14.040449	0	15.219758	0	0	0	0	0	0	61.87985	0	0	0	11.960377	11.960377	11.933709	6.1897197	0	0	0	0	22.158041	3.7423077	0	4.856653	0	3.5937653
