	ATTRIBUTE_diet	filename	MS_718	MS_614	MS_1557	MS_3957	MS_4136	MS_485	MS_4039	MS_9983	MS_840	MS_15981	MS_13814	MS_10645	MS_30185	MS_23517	MS_29852	MS_23461	MS_30388	MS_30838	MS_28632	MS_30065	MS_23805	MS_25563	MS_29013	MS_27931	MS_28897	MS_29738	MS_23556	MS_30215	MS_24526	MS_26131	MS_22498	MS_28514	MS_25616	MS_29459	MS_26934	MS_30091	MS_29005	MS_24489	MS_23873	MS_23840	MS_28750	MS_28944	MS_29727	MS_30179	MS_28483	MS_29435	MS_30085	MS_26700	MS_27625	MS_29509	MS_27861
367	NC	SS388_RB4_01_7755	289.2463	1404.1478	77.77648	0.0	21.07531	61.99641999999999	0.0	0.0	469.74728	0.0	0.0	0.0	580.6936	0.0	76.50027	12.714852	278.65826	100.80639000000001	0.0	0.0	0.0	0.0	33.183575	19.765121	3.2391099999999997	0.0	38.548527	53.95978	20.042054999999998	0.0	0.0	121.568924	44.921603999999995	34.254013	0.0	0.0	0.0	32.817448	9.882185	22.326824	3.7700120000000004	0.0	0.0	0.0	156.3909	32.441666	2.749412	34.28699	2.9807205000000003	9.927793	205.87515
178	NC	SS179_RH2_01_7512	763.0923	157.25496	1290.7051	228.44331	57.744890000000005	362.54065	1717.3585	162.7519	296.85098	0.0	0.0	99.45029	443.31958	0.0	0.0	19.099037	121.56321000000001	0.0	0.0	0.0	0.0	210.4523	153.20271	26.499313	37.186659999999996	0.0	149.56229	16.397697	264.98703	301.18637	0.0	116.056656	0.0	84.7086	0.0	0.0	0.0	44.680313	14.970168	46.11225	4.854107	0.0	0.0	0.0	109.68855	36.29974	0.0	45.926933	3.0771565	2.7237654	44.562534
300	NC	SS325_RD10_01_7682	573.9154	610.55646	129.40492	0.0	30.933934999999998	368.49634	211.03067000000001	60.429134	159.76131999999998	0.0	0.0	0.0	957.4463	0.0	137.25186000000002	18.732492	545.2629400000001	323.3576	0.0	0.0	0.0	0.0	27.618046000000003	17.376455	30.134102000000002	0.0	111.77372	184.86946	56.9245	0.0	0.0	86.48716999999999	1112.5786	70.877884	507.2267	0.0	0.0	44.84721	22.650578	50.505157000000004	15.698948999999999	0.0	0.0	0.0	110.45270500000001	34.774372	13.329469	9.565714	4.4651723	0.0	93.30053000000001
37	NC	SS12_RA12_01_7318	198.29083	413.6185	859.9778	39.089348	44.952168	175.71968	443.27667	69.41452	279.52335	0.0	0.0	0.0	53.38851999999999	0.0	0.0	59.013565	37.968075	0.0	0.0	0.0	0.0	0.0	20.555052	13.953464499999999	2.8769436	0.0	82.45238	10.127718	133.16405	0.0	0.0	55.245564	0.0	17.349472	0.0	0.0	0.0	53.931488	24.878067	77.79095500000001	2.8418655	0.0	0.0	0.0	100.252014	19.358738	0.0	47.551315	11.272728	2.841741	111.587364
237	NC	SS258_RF12_01_7605	0.0	0.0	0.0	131.81989	0.0	2.0519996	837.18976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.084248	0.0	0.0	0.0	29.047209999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.042966	0.0	0.0	0.0	0.0	0.0	0.0	10.488964	30.575684000000003	0.0	0.0
239	NC	SS243_RE9_01_7589	97.40992	0.0	113.7314	112.96088	254.19977000000003	405.5486	978.4612400000001	124.53339	200.6242	0.0	0.0	0.0	1535.967	0.0	0.0	39.952521999999995	395.52826	200.23488	289.2766	0.0	264.27472	423.0965	491.4477	14.595366	75.207825	0.0	179.01663	60.261536	699.2339	789.53546	86.42997	114.88611999999999	0.0	359.29047	8.972464	0.0	144.9682	54.141155000000005	39.727905	320.1962	5.860221	0.0	11.866659	0.0	87.561615	126.74068500000001	12.167849	69.13367	15.5121155	3.2233744	47.37308
242	NC	SS242_RE8_01_7588	168.47032	0.0	259.33092999999997	148.53226	180.4894	236.62425	922.6843	137.62112	233.67857	0.0	0.0	0.0	1273.1918	0.0	0.0	41.78591	290.0464	110.49905	191.42593	0.0	146.9891	296.69397000000004	332.19382	10.050253	49.211033	0.0	161.54904	24.796144	570.1511	601.185	121.55571	73.98026	0.0	110.800255	3.1218567000000004	0.0	0.0	50.54215	6.855168300000001	193.88834	3.6347022000000004	0.0	0.0	0.0	49.190243	49.11459	2.6874485	33.069266999999996	15.925009	2.694788	43.47869
244	NC	SS233_RD11_01_7578	143.91447	0.0	70.94064	217.80876	67.787155	157.78333999999998	1032.2401	142.08524	193.41705	0.0	101.0492	0.0	0.0	0.0	0.0	25.705818	15.278107	0.0	0.0	0.0	0.0	0.0	19.31966	12.438971	25.005470000000003	0.0	58.569153	7.852155000000001	85.77415	76.31035	50.176697	82.42416	0.0	100.8663	0.0	0.0	0.0	20.084135	15.200312	41.70329	26.962032	0.0	0.0	0.0	74.64769	49.836765	3.0772371	24.71845	11.783332000000001	0.0	34.272987
247	NC	SS232_RD10_01_7577	427.1437	92.46524000000001	83.91313000000001	190.67334	55.62446	729.86	477.96704000000005	219.64437999999998	171.41962	0.0	645.83966	0.0	165.29956	0.0	0.0	63.530506	82.932976	0.0	0.0	0.0	0.0	191.12805	52.971554000000005	52.0175	37.84299	0.0	169.2724	18.384298	230.86902999999998	65.38531	50.225212	253.4387	0.0	118.40996000000001	0.0	0.0	0.0	109.54021999999999	55.092087	43.125633	17.740969	0.0	0.0	0.0	211.87921	116.52785	15.065841	51.869396	27.045925	2.547989	123.29378
248	NC	SS235_RE1_01_7581	53.121117000000005	0.0	141.00636	479.2288	2.9801888	105.89785	1488.4102	232.30687000000003	233.32207999999997	0.0	0.0	0.0	1054.7174	2337.0288	0.0	39.468117	269.71722	122.07478	175.44016000000002	0.0	48.847046	0.0	295.22598	18.089447	52.89303	0.0	118.180435	26.582369	105.49108999999999	250.38554	0.0	114.41068	0.0	221.02496000000002	0.0	0.0	89.74385	53.793243000000004	40.051956	101.11675	25.172573	0.0	0.0	0.0	99.16152	60.457016	10.499172	76.44572	23.228226	7.519829	56.841354
