Taxa_NCBI	superkingdom	kingdom	clade	phylum	class	order	family	genus	species	strain
858666	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri	Lactobacillus gasseri EX336960VC01
1073374	Bacteria		Terrabacteria group	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas micra	Parvimonas micra CC57A
936563	Bacteria			Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium sp. CM22	
1261057	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis	Gardnerella vaginalis JCP7275
999421	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides merdae	Parabacteroides merdae CL09T00C40
575593	Bacteria		Terrabacteria group	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae		Lachnospiraceae bacterium oral taxon 500	Lachnospiraceae oral taxon 107 str. F0167
1204476	Bacteria			Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	Fusobacterium nucleatum CTI-3
858665	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii	Lactobacillus jensenii EX849587VC06
575609	Bacteria		Terrabacteria group	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus sp. oral taxon 386	Peptoniphilus sp. oral taxon 386 str. F0131
674054	Bacteria			Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas baetica	
321661	Bacteria			Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas vranovensis	
1073373	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sanguinis	Streptococcus sanguinis CC94A
1073364	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides goldsteinii	Parabacteroides goldsteinii CC87F
