	ATTRIBUTE_antibiotics_YN	filename	MS_718	MS_614	MS_1557	MS_3957	MS_4136	MS_485	MS_4039	MS_9983	MS_840	MS_15981	MS_13814	MS_10645	MS_30185	MS_23517	MS_29852	MS_23461	MS_30388	MS_30838	MS_28632	MS_30065	MS_23805	MS_25563	MS_29013	MS_27931	MS_28897	MS_29738	MS_23556	MS_30215	MS_24526	MS_26131	MS_22498	MS_28514	MS_25616	MS_29459	MS_26934	MS_30091	MS_29005	MS_24489	MS_23873	MS_23840	MS_28750	MS_28944	MS_29727	MS_30179	MS_28483	MS_29435	MS_30085	MS_26700	MS_27625	MS_29509	MS_27861
69	No	SS77_RG5_01_7392	0.0	0.0	2.718005	0.0	4.305485	53.27927	107.116905	0.0	93.71904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.4672	118.85039499999999	0.0	20.067303	0.0	76.50684	0.0	116.29211399999998	340.7912	60.14641999999999	0.0	0.0	77.667725	0.0	88.87668000000001	39.500587	140.20085	144.00081	81.65120999999999	24.482738	0.0	0.0	0.0	0.0	32.07208	48.82181	7.350690400000001	14.444393	0.0	0.0
68	No	SS67_RF7_01_7380	0.0	0.0	0.0	42.806934000000005	7.8834553	56.301373	568.332	0.0	118.02363600000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	297.34015	805.68976	437.89867999999996	18.203114000000003	32.64891	0.0	125.57793999999998	0.0	475.41278	1260.0956	0.0	0.0	0.0	82.01238000000001	0.0	117.07925	54.58289	164.95828	167.92686	309.99802	27.772942999999998	33.93265	0.0	0.0	0.0	33.83951	34.252956	85.32899499999999	43.311623	0.0	20.695420000000002
67	No	SS75_RG3_01_7390	36.23442	0.0	3.6763961000000003	0.0	20.350374	91.3087	85.92071	0.0	100.97319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.940569999999994	0.0	129.77753	0.0	36.594086	0.0	97.40728	0.0	29.691853000000002	57.230812	0.0	0.0	0.0	221.70845	0.0	90.61929	47.846226	93.17911	43.92136	25.767001999999998	43.352276	17.98218	0.0	0.0	30.314434000000002	55.464737	30.972573999999998	3.6035652000000002	11.063129	3.4485626000000003	3.846418
66	No	SS68_RF8_01_7381	0.0	0.0	0.0	58.785594999999994	3.1529171000000003	31.969692	485.33565999999996	0.0	90.54548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.947845	160.19278	177.86021000000002	11.9583	32.406334	0.0	69.78334	0.0	139.72295	339.58258	0.0	46.888252	0.0	282.18777	0.0	45.02903	41.84195	149.31265	142.09186	154.96631000000002	16.461346	0.0	0.0	0.0	52.990590000000005	86.17111	22.3914	32.11634	52.58316	0.0	24.475662
65	No	SS42_RD6_01_7352	31.401165000000002	38.213074	7.906009700000001	134.33923000000001	20.17773	64.27869	449.0648	0.0	513.313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.00462	0.0	447.0738	938.5063	665.51306	76.83284	81.97005	0.0	209.12951999999999	0.0	579.3388	1945.7776	0.0	67.98382600000001	85.02832	486.11355999999995	0.0	182.45105	126.86716499999999	397.9935	402.33173	258.07275	105.7732	0.0	0.0	0.0	64.67572	181.94849	41.52738	67.49519000000001	75.00365	0.0	49.492645
62	No	SS40_RD4_01_7350	29.94518	0.0	0.0	32.58585	0.0	60.622344999999996	359.85677999999996	0.0	65.727165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1337.9905	3566.9065	134.90497	25.96821	25.219162	0.0	120.5512	0.0	1837.2649	7000.882	0.0	0.0	80.23614	68.61964	3.9584885	70.73729	60.088776	179.9223	186.92888	45.666557	25.408929999999998	0.0	0.0	18.132969	0.0	45.28203	24.763575	16.135166	17.217594000000002	0.0	8.378513
61	No	SS80_RG8_01_7395	63.459965000000004	52.685238	0.0	21.570526	6.0780497	30.8106	46.874977	0.0	136.85255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.38296	0.0	53.400555000000004	0.0	5.935371400000001	0.0	36.932125	0.0	3.1356349999999997	0.0	54.97275	0.0	0.0	24.277592000000002	0.0	34.456593	0.0	51.275803	9.4587345	0.0	52.970146	0.0	0.0	0.0	0.0	2.7068147999999996	9.933935	49.1159	4.0969133	0.0	0.0
59	No	SS41_RD5_01_7351	67.03896999999999	0.0	15.383446	54.91608000000001	9.14907	35.25181	366.44824	0.0	147.20815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.48671	0.0	559.4122	1330.5717	494.8067	27.974155	18.872166	0.0	113.62993999999999	0.0	806.88837	2969.1133	32.698890000000006	39.923832	0.0	90.548874	0.0	188.65935	96.07800999999999	208.9324	218.22786000000002	68.36632	81.179276	0.0	0.0	0.0	25.397491	44.355946	50.01143	19.856033	38.037025	0.0	7.067321000000001
58	No	SS43_RD7_01_7353	40.30815	41.610752000000005	60.507056999999996	58.852097	20.80483	61.23720600000001	462.94005999999996	0.0	178.97968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2384.0193	5341.0483	305.54367	17.275154	22.315977	0.0	77.97086999999999	0.0	2571.5083	8231.462	45.365173	0.0	53.35125	41.72684	3.5404977999999994	112.15733999999999	47.829468	105.63651999999999	105.63651999999999	279.3753	92.66376	0.0	0.0	0.0	0.0	63.461043999999994	38.866158	82.31119	37.124140000000004	0.0	10.270002999999999
57	No	SS44_RD8_01_7355	35.678734000000006	59.376472	13.341173000000001	113.369225	12.543175	88.73074	449.76815999999997	0.0	696.91614	0.0	0.0	0.0	0.0	0.0	0.0	9.460028	0.0	0.0	0.0	0.0	797.67255	1410.9855	256.40036000000003	16.470219	4.36615	0.0	99.96019	0.0	1329.8029999999999	3466.7612	0.0	42.128161999999996	0.0	103.68196	2.5491905	139.09752	46.853854999999996	148.38187	151.2854	40.506009999999996	110.9725	0.0	0.0	0.0	29.00961	33.876427	42.1074	69.36399	30.116934000000004	3.8677468	21.553675
