Compound	counts_microbeMASST	head	tail	carbons	unsaturations	even_odd
Serine-C9:0	20	Serine	C9:0	C9	0	even
Tyramine-C17:1	3	Tyramine	C17:1	C17	1	odd
Valine-C10:0	4	Valine	C10:0	C10	0	even
Leucine-C13:0	3	Leucine	C13:0	C13	0	odd
Cadaverine-C18:0	3	Cadaverine	C18:0	C18	0	even
Alanine/Sarcosine-C16:2	2	Alanine/Sarcosine	C16:2	C16	2	even
Tryptamine-C11:4	4	Tryptamine	C11:4	C11	4	odd
2-aminovaleric acid-C14:0	5	2-aminovaleric acid	C14:0	C14	0	even
Putrescine-C18:1	6	Putrescine	C18:1	C18	1	even
Citrulline-C17:0	2	Citrulline	C17:0	C17	0	odd
Serine-C8:0	26	Serine	C8:0	C8	0	even
Asparagine-C16:1	62	Asparagine	C16:1	C16	1	even
Alanine/Sarcosine-C13:1	3	Alanine/Sarcosine	C13:1	C13	1	odd
Taurine-C16:1	8	Taurine	C16:1	C16	1	even
Citrulline-C11:0	2	Citrulline	C11:0	C11	0	odd
Asparagine-C17:1	22	Asparagine	C17:1	C17	1	odd
Alanine/Sarcosine-C18:0	18	Alanine/Sarcosine	C18:0	C18	0	even
Serine-C13:1	9	Serine	C13:1	C13	1	odd
Leucine-C18:0	4	Leucine	C18:0	C18	0	even
2-phenethylamine-C10:1	8	2-phenethylamine	C10:1	C10	1	even
Leucine-C19:1	5	Leucine	C19:1	C19	1	odd
Tyramine-C17:0	5	Tyramine	C17:0	C17	0	odd
Tyramine-C15:0	7	Tyramine	C15:0	C15	0	odd
Methionine-C14:0	1	Methionine	C14:0	C14	0	even
Serine-C13:0	3	Serine	C13:0	C13	0	odd
Taurine-C18:2	5	Taurine	C18:2	C18	2	even
Taurine-C18:1	3	Taurine	C18:1	C18	1	even
Tryptamine-C5:0	8	Tryptamine	C5:0	C5	0	odd
