	Head	annotation
2888	Threonine/homoserine	C22:1
2891	Valine	C22:1
2893	Glycine	C22:3
2906	Threonine/homoserine	C22:3
2909	Valine	C22:3
2921	Spermidine	C22:3
2930	Alanine/Sarcosine	C22:4
2943	Threonine/homoserine	C22:4
2964	Alanine/Sarcosine	C22:5
2973	Serine	C22:5
2975	Threonine/homoserine	C22:5
2979	Valine	C22:5
3002	Spermidine	C22:4
3016	Glutamic acid	C22:6
3019	Threonine/homoserine	C22:6
3022	Valine	C22:6
3033	Spermidine	C22:6
3038	Spermidine	C24:1
3046	Threonine/homoserine	C24:1
3050	Valine	C24:1
3081	Spermidine	C22:2
3083	Glycine	C23:1
3094	Valine	C23:1
3095	Threonine/homoserine	C23:1
3112	Glycine	C19:2
3114	Threonine/homoserine	C20:5
3124	L-DOPA	C10:0
3125	L-DOPA	C9:0
0	2-aminovaleric acid	C18:2
2	Beta-alanine	C14:0
4	Tyramine	C18:2
6	Serotonin	C18:2
7	2-aminovaleric acid	C3:0
12	Histamine	C16:0
13	Putrescine	C16:0
14	Cadaverine	C16:0
16	Agmatine	C16:0
18	2-phenethylamine	C18:2
20	Dopamine	C16:0
21	Serotonin	C16:0
23	Tyramine	C16:0
26	2-phenethylamine	C16:0
27	Tryptamine	C16:0
35	Putrescine	C10:0
36	Cadaverine	C10:0
38	Histamine	C10:0
39	Agmatine	C10:0
40	Tyramine	C10:0
44	Serotonin	C10:0
46	Tryptamine	C10:0
47	Agmatine	C4:0
48	2-phenethylamine	C10:0
49	Histamine	C4:0
57	Dopamine	C4:0
58	Putrescine	C4:0
60	Cadaverine	C4:0
61	Tyramine	C4:0
63	Serotonin	C4:0
66	2-phenethylamine	C4:0
67	Tryptamine	C4:0
69	Histamine	C6:0
71	Tyramine	C6:0
74	Tryptamine	C6:0
75	2-phenethylamine	C6:0
76	Putrescine	C6:0
77	Putrescine	C18:0
81	Serotonin	C6:0
82	Cadaverine	C18:0
83	Histamine	C18:0
85	Serotonin	C18:0
87	Agmatine	C18:0
89	Tyramine	C18:0
91	Tryptamine	C18:0
93	2-phenethylamine	C18:0
97	Dopamine	C18:0
100	Histamine	C2:0
102	Cadaverine	C2:0
110	Dopamine	C2:0
111	Serotonin	C2:0
112	Tyramine	C2:0
119	Tryptamine	C2:0
123	Putrescine	C3:1
124	2-phenethylamine	C2:0
125	Histamine	C3:1
131	Dopamine	C3:1
132	Cadaverine	C3:1
133	Tyramine	C3:1
134	Agmatine	C3:1
135	Serotonin	C3:1
136	2-phenethylamine	C3:1
140	2-phenethylamine	C10:1
141	Tryptamine	C3:1
143	Dopamine	C21:0
148	Serotonin	C22:0
149	3-methoxytyramine	C21:0
151	Tyramine	C21:0
152	Tyramine	C22:0
154	Serotonin	C21:0
157	2-phenethylamine	C21:0
158	3-methoxytyramine	C22:0
159	Tryptamine	C21:0
163	Tryptamine	C22:0
164	2-phenethylamine	C22:0
167	Tyramine	C14:1
175	Beta-alanine	C7:0
177	O-methyltyrosine	C7:0
180	3-hydroxykynurenine	C2:0
181	3-methoxytyramine	C2:0
183	3-hydroxykynurenine	C5:0
186	5-methoxytryptamine	C2:0
188	Kynurenine	C2:0
189	3-hydroxykynurenine	C3:0
190	3-methoxytyramine	C3:0
193	Kynurenine	C3:0
194	5-methoxytryptamine	C3:0
196	Kynurenine	C5:0
197	3-methoxytyramine	C5:0
201	Spermine	C10:1
202	Histidine	C10:1
204	5-methoxytryptamine	C5:0
205	Lysine	C10:1
206	Spermine	C14:1
209	Citrulline	C10:1
210	Arginine	C10:1
214	Serine	C10:1
215	Spermine	C18:2
216	Glycine	C10:1
221	Histidine	C14:1
222	Spermine	C16:1
223	Tyrosine	C10:1
225	Methionine	C10:1
226	Putrescine	C14:1
227	Arginine	C14:1
229	Lysine	C14:1
230	Histidine	C18:2
231	Histidine	C16:1
232	Tryptophan	C10:1
233	Tyramine	C10:1
234	Putrescine	C18:2
235	Tyrosine	C14:1
236	Valine	C10:1
237	Phenylalanine	C10:1
241	Valine	C14:1
242	Putrescine	C10:1
248	Ornithine	C5:0
249	Glutamine	C5:0
250	Ornithine	C3:1
251	Alanine/Sarcosine	C5:0
252	Phenylalanine	C3:1
255	2-aminovaleric acid	C3:1
257	2-aminovaleric acid	C5:0
259	Glutamine	C9:0
261	2-phenethylamine	C5:0
262	Glutamine	C10:0
265	Phenylalanine	C5:0
269	Alanine/Sarcosine	C10:0
270	Alanine/Sarcosine	C9:0
272	2-aminovaleric acid	C9:0
276	2-aminovaleric acid	C10:0
277	Glutamine	C14:0
278	2-phenethylamine	C9:0
279	Phenylalanine	C9:0
281	Glutamine	C16:0
282	Phenylalanine	C10:0
285	Alanine/Sarcosine	C14:0
286	2-aminovaleric acid	C14:0
290	Phenylalanine	C16:0
291	Phenylalanine	C14:0
293	2-aminovaleric acid	C16:0
294	2-phenethylamine	C14:0
310	2-aminovaleric acid	C18:3
314	Tyrosine	C5:1
320	Histidine	C11:1
322	Arginine	C11:1
323	Phenylalanine	C5:1
325	Alanine/Sarcosine	C10:1
329	Leucine	C10:1
330	Tyrosine	C11:1
335	Methionine	C11:1
336	Valine	C11:1
341	Phenylalanine	C11:1
342	Leucine	C11:1
348	Tyramine	C13:0
350	Tyramine	C15:0
352	Tyramine	C4:1
373	Beta-alanine	C8:0
376	Histidine	C5:0
377	Beta-alanine	C5:0
379	O-methyltyrosine	C5:0
381	Serotonin	C23:0
382	Tyramine	C23:0
383	Tyramine	C19:0
390	Cadaverine	C6:0
392	Alanine/Sarcosine	C6:0
397	Amylamine	C6:0
400	Histamine	C3:0
404	Glutamine	C2:0
405	Lysine	C3:0
408	Histidine	C2:0
409	Arginine	C2:0
410	Tyramine	C12:0
411	Asparagine	C3:0
412	Histidine	C3:0
413	Serine	C3:0
414	Histidine	C4:0
415	Arginine	C3:0
417	Lysine	C4:0
426	Asparagine	C2:0
429	Asparagine	C4:0
431	Arginine	C4:0
435	Serine	C4:0
438	Glutamine	C4:0
441	Threonine/homoserine	C4:0
442	Proline	C2:0
446	Proline	C3:0
447	Methionine	C2:0
448	Tyrosine	C2:0
452	Tyrosine	C3:0
453	Alanine/Sarcosine	C4:0
458	Methionine	C3:0
459	Valine	C3:0
460	Proline	C4:0
464	Glutamine	C3:0
467	Leucine	C2:0
469	Tyrosine	C4:0
470	Histidine	C8:0
472	Phenylalanine	C2:0
474	Methionine	C4:0
476	Valine	C4:0
481	Leucine	C3:0
482	Arginine	C8:0
483	Tryptophan	C2:0
484	Phenylalanine	C3:0
486	Tryptophan	C3:0
487	Lysine	C8:0
493	Leucine	C4:0
496	Serine	C8:0
498	Threonine/homoserine	C8:0
499	Tryptophan	C4:0
500	Glutamine	C8:0
501	Asparagine	C8:0
504	Phenylalanine	C4:0
514	Glycine	C8:0
524	Tyrosine	C8:0
525	Proline	C8:0
526	Alanine/Sarcosine	C8:0
530	Valine	C8:0
534	Methionine	C8:0
539	Leucine	C8:0
540	Tryptophan	C8:0
542	Tyramine	C13:1
544	Phenylalanine	C8:0
590	N-acetylornithine	C2:0
591	Dopamine	C25:0
592	Ornithine	C4:0
593	Tryptophan	C25:0
595	Ornithine	C2:0
598	N-acetylornithine	C3:0
603	Serotonin	C25:0
606	N-acetylcadaverine	C4:0
610	N-acetylornithine	C4:0
615	Putrescine	C7:0
625	N-acetylcadaverine	C7:0
626	Cadaverine	C7:0
628	Tyramine	C22:4
629	Ornithine	C7:0
634	Spermidine	C2:0
637	Glutathione	C2:0
643	Glutathione	C3:0
644	L-DOPA	C2:0
645	L-DOPA	C3:0
651	Spermidine	C7:0
652	Spermidine	C8:0
653	Tyramine	C3:0
655	Putrescine	C5:0
656	Spermidine	C9:0
657	Putrescine	C8:0
661	Spermidine	C10:0
662	Tyramine	C5:0
665	Putrescine	C9:0
666	L-DOPA	C7:0
668	Glutathione	C8:0
671	Amylamine	C5:0
675	Tyramine	C7:0
679	Glutathione	C10:0
688	L-DOPA	C9:0
691	Tyramine	C9:0
692	2-phenethylamine	C7:0
693	Amylamine	C7:0
695	Tyramine	C8:0
699	Amylamine	C8:0
704	Amylamine	C10:0
728	O-methyltyrosine	C2:0
730	Agmatine	C3:0
731	Lysine	C12:1
732	Cadaverine	C3:0
736	Serine	C12:1
739	Cadaverine	C5:0
740	Agmatine	C5:0
741	Tryptamine	C3:0
744	Dopamine	C3:0
745	Serotonin	C3:0
746	Dopamine	C5:0
747	Agmatine	C7:0
752	Cadaverine	C9:0
754	Serotonin	C5:0
761	Agmatine	C9:0
762	Dopamine	C7:0
765	Serotonin	C7:0
768	Tryptamine	C5:0
776	Dopamine	C9:0
777	Serotonin	C9:0
778	Tryptamine	C7:0
784	Cadaverine	C14:0
788	Tryptamine	C9:0
789	Agmatine	C14:0
791	Tyramine	C14:0
793	Cadaverine	C12:0
794	Tryptamine	C14:0
795	Serotonin	C14:0
935	Histidine	C16:0
936	Lysine	C16:0
939	Threonine/homoserine/homoserine	C16:0
940	Threonine/homoserine	C16:0
942	Tyrosine	C16:0
943	Arginine	C16:0
947	Tryptophan	C16:0
949	Methionine	C16:0
950	5-aminovaleric acid	C16:0
953	Threonine/homoserine	C14:0
954	Histidine	C14:0
955	Leucine	C16:0
957	Arginine	C14:0
959	Serine	C14:0
960	Threonine/homoserine/homoserine	C14:0
961	Tryptophan	C14:0
963	5-aminovaleric acid	C14:0
968	Leucine	C14:0
981	Threonine/homoserine	C2:0
993	Threonine/homoserine/homoserine	C4:0
1010	Histidine	C10:0
1011	Lysine	C10:0
1016	Arginine	C10:0
1023	Serine	C10:0
1024	Threonine/homoserine	C10:0
1025	Threonine/homoserine/homoserine	C10:0
1036	Glycine	C10:0
1045	Tyrosine	C10:0
1048	Leucine	C10:0
1051	Methionine	C10:0
1052	Agmatine	C4:1
1053	Histamine	C4:1
1058	Proline	C4:1
1059	Histidine	C12:0
1061	Tryptamine	C4:1
1062	Dopamine	C4:1
1063	Histamine	C12:0
1065	Agmatine	C12:0
1069	Agmatine	C15:0
1070	Histamine	C15:0
1072	Alanine/Sarcosine	C12:0
1073	Proline	C12:0
1074	Methionine	C12:0
1077	Tryptophan	C12:0
1078	Dopamine	C12:0
1080	Tryptamine	C12:0
1083	Tryptamine	C15:0
1091	2-phenethylamine	C19:1
1092	Proline	C15:0
1095	Serotonin	C20:1
