Variable	metadata	Coefficient	SE	N	P_Value	qval	Class
N-acetylcadaverine-C18:1	globalzimpairment_pe	0.109005	0.053646	313	0.04312	0.431204	Nacetylcadaverine
N-acetylcadaverine-C2:0	globalzimpairment_pe	0.50139	0.312813	313	0.11	0.574265	Nacetylcadaverine
N-acetylcadaverine-C3:0	globalzimpairment_pe	0.43668	0.192586	313	0.024065	0.343779	Nacetylcadaverine
N-acetylcadaverine-C7:0	globalzimpairment_pe	0.149552	0.150853	313	0.322427	0.64082	Nacetylcadaverine
N-acetylputrescine-C2:0...63	globalzimpairment_pe	0.254429	0.174708	313	0.146438	0.574265	Nacetylcadaverine
N-acetylputrescine-C2:0...64	globalzimpairment_pe	0.075885	0.057943	313	0.191322	0.634366	Nacetylcadaverine
N-acetylputrescine-C2:0...65	globalzimpairment_pe	0.057216	0.02612	313	0.029234	0.365426	Phenylalanine
Phenylalanine-C18:2	globalzimpairment_pe	0.041835	0.069026	313	0.54491	0.758386	Phenylalanine
Phenylalanine-C18:3	globalzimpairment_pe	0.080598	0.251673	313	0.749039	0.862241	Phenylalanine
Phenylalanine-C4:0	globalzimpairment_pe	-0.02589	0.051464	313	0.615353	0.788914	Phenylalanine
Putrescine-C14:0	globalzimpairment_pe	0.137852	0.187486	313	0.462747	0.726801	Putrescine
Putrescine-C16:0	globalzimpairment_pe	0.159133	0.106893	313	0.137579	0.574265	Putrescine
Putrescine-C18:0	globalzimpairment_pe	2.80E-12	1.90E-07	313	0.99999	0.999991	Putrescine
Putrescine-C2:0	globalzimpairment_pe	-0.02234	0.031985	313	0.485442	0.729376	Putrescine
Putrescine-C4:0	globalzimpairment_pe	0.351342	0.281643	313	0.213181	0.638345	Putrescine
Putrescine-C5:0...74	globalzimpairment_pe	0.577601	0.196636	313	0.003559	0.177938	Putrescine
Putrescine-C5:0...75	globalzimpairment_pe	0.677159	0.316749	313	0.033342	0.370461	Putrescine
Serotonin-C18:1	globalzimpairment_pe	0.066934	0.041305	313	0.106504	0.574265	Serotonin
Serotonin-C2:0	globalzimpairment_pe	0.083218	0.178385	313	0.641179	0.806515	Serotonin
Serotonin-C20:0	globalzimpairment_pe	0.126312	0.137758	313	0.359901	0.670645	Serotonin
Spermidine-C16:0	globalzimpairment_pe	-0.00947	0.128021	313	0.941096	0.975144	Spermidine
Spermidine-C18:1	globalzimpairment_pe	0.09897	0.11205	313	0.377777	0.670645	Spermidine
Spermidine-C18:2	globalzimpairment_pe	-0.02201	0.088573	313	0.803917	0.898231	Spermidine
Spermidine-C2:0	globalzimpairment_pe	0.146061	0.086305	313	0.091717	0.574265	Spermidine
Spermidine-C4:0...83	globalzimpairment_pe	0.063351	0.095806	313	0.508983	0.733779	Spermidine
Spermidine-C4:0...84	globalzimpairment_pe	0.064064	0.115363	313	0.579092	0.772122	Spermidine
Spermidine-C5:0	globalzimpairment_pe	0.274614	0.257364	313	0.28679	0.638345	Spermidine
Threonine/homoserine-C4:0	globalzimpairment_pe	0.088509	0.262606	313	0.736328	0.862241	Threonine homoserine
